v_Vel,v_Acc,Space_Headway,Preceding_Distance,Following,Local_Y_diff
4.332732000000001,0.169164,19.2798192,3.17126111999999,0,4.375343039999997
4.3430952000000005,-0.0301751999999999,18.3273192,3.417874800000007,0,4.156984320000007
3.745992,-1.3566648000000003,17.369942400000003,4.097700719999999,0,3.3332623199999887
3.1717488,0.2130551999999999,17.311116000000002,4.113306479999999,1,3.188787120000015
3.5792664000000003,1.4840712,18.0907944,3.9356080799999935,1,4.2469612799999865
4.5732192000000005,-0.013716,18.8375544,3.914698800000004,1,4.572883920000002
4.5607224,-0.1633728,18.505931999999994,2.814614640000002,1,4.125650879999995
3.4408872,-1.3575792,16.746931200000002,0.926927280000001,1,2.6883360000000067
1.789176,-1.6602456,13.5486648,0.8637422399999934,1,1.2614147999999972
1.1430000000000002,0.0,11.7238272,0.7108545600000156,1,1.0737189600000008
0.9710928,-0.0003048,11.1733584,0.4469587199999694,1,1.0415016000000037
1.1439144,0.00762,10.5469944,0.4428744000000222,1,1.0314127199999987
0.7955280000000001,-0.5422392,9.9477576,0.2837383199999976,1,0.641421120000004
0.6096000000000001,0.0,9.2006928,0.652912079999993,1,0.6092952000000054
0.6080760000000001,-0.0067055999999999,9.211970400000002,2.4177345600000137,1,1.1287353600000074
2.1631656,1.8748248,11.0203488,2.539593599999975,1,2.836438319999985
2.9970984,0.0,12.431268,2.931170160000008,1,2.9975556000000125
2.996184,-0.0115824,12.5254512,4.127571120000013,1,3.323295359999989
3.9919656,1.4874240000000003,13.655954400000002,4.224893759999986,1,4.418594160000012
4.3513248,-0.8909304,14.5575528,4.019184240000016,1,4.091147520000007
4.2211752,0.8878824,14.15796,5.252405039999999,1,4.659233759999992
5.2017168,1.1996927999999998,15.318943199999998,5.75983608,1,5.619658559999976
5.6918352,-0.094488,16.419880799999998,5.522823599999981,1,5.630296080000008
5.57784,2.775557561562892e-18,16.323564,5.060106720000007,1,5.627705280000001
5.582412,-0.7586472000000001,15.752673600000003,4.620127920000002,1,5.034351119999997
4.5384720000000005,-0.4349496,14.7453096,4.243059840000001,1,4.493910239999991
4.4189904,-0.6257543999999999,13.953744,4.163507040000013,1,3.824904720000021
3.439363199999999,0.1453896,13.623950399999998,3.796283999999986,1,3.638763359999985
3.6420552,-0.5873495999999999,13.5949944,2.0790103200000374,1,2.9902099200000123
2.2741128,-0.9281160000000002,12.0356376,1.828312319999981,1,2.140671360000013
2.1336000000000004,0.0,10.8731304,1.6841723999999942,1,2.1348801599999945
2.0857464,-0.4703064,10.4168448,0.9735921600000096,1,1.5573756000000003
0.9750552,-0.7997952,9.2555568,0.8769096000000047,1,0.8676436799999863
0.862584,-0.0006096,8.574938399999999,0.8769400799999687,1,0.862858320000015
0.8741664,0.1319784,8.5843872,1.0136123999999995,1,1.0316565599999876
1.2045696,0.2395728,8.735568,1.6870375200000467,1,1.2352934399999924
1.2265152,-0.1167384,9.390888,1.7787823199999764,1,1.231056719999998
1.3962888,0.786384,9.934041600000002,2.010277919999993,1,1.9700748000000203
2.6264616,1.1430000000000002,10.7131104,3.1257849600000043,1,2.9534815199999684
3.0480000000000005,0.0,11.868911999999998,3.179734560000014,1,3.0473599200000194
3.0480000000000005,0.0006096,12.0956832,3.0095951999999784,1,3.051749040000004
3.1238952,0.4605528,12.057887999999998,3.686555999999996,1,3.3751418399999977
3.5186112,0.2267712,12.692176800000002,4.385431920000002,1,3.796253520000022
4.166615999999999,0.4840224,13.7025888,4.524999840000021,1,4.218706319999967
4.1626536000000005,-0.5071872000000001,14.431365599999998,4.521037440000015,1,4.041282240000015
3.9876984000000006,-0.2307336,14.7334224,3.236762639999995,1,3.5702748000000213
3.099816,-0.4221479999999999,13.9290552,1.7220590399999764,1,3.058180319999962
3.0248352,-0.3099816000000001,12.080747999999998,1.6999915199999975,1,2.911906800000054
